key,value
1497262121,261.58
1498262121,961.58
1499262121,561.58
1500262121,61.58
1501262121,61.58
1502262121,961.58
1503262121,61.58
1504262121,61.58
1505262121,261.58
1506262121,47.58
1507262121,561.58
1508262121,561.58
1509262121,761.58
1510262121,261.58
1511262121,961.58
1512262121,561.58
1513262121,61.58
1514262121,61.58
1515262121,961.58
1516262121,61.58
1517262121,61.58
1518262121,1061.58
1519262121,1200.46
1520262121,1366.42
1521262121,400.42
1522262121,1000.58
1523262121,600.58
1524262121,500.58
1525262121,1000.58
1526262121,10.58
1527262121,150.58
1528262121,47.58
1529262121,561.58
1530262121,561.58
1531262121,761.58
1532262121,11.58
1533262121,151.58
1534262121,48.58
1535262121,562.58
1536262121,562.58
1537262121,762.58
1538262121,262.58
1539262121,962.58
1540262121,90.58
1541262121,1201.46
1542262121,1367.42
1543262121,401.42
1544262121,1001.58
1545262121,601.58
1546262121,501.58
1547262121,1001.58
1548262121,11.58
1549262121,401.42
1550262121,1001.58
1551262121,601.58
1552262121,501.58
1553262121,1001.58
1554262121,11.58
1555262121,401.42
1556262121,501.58
1557262121,1001.58
1558262121,11.58
1559262121,151.58
1560262121,48.58
1561262121,562.58
1562262121,562.58
1563262121,762.58
1564262121,262.58
1565262121,962.58
1566262121,1201.46
1567262121,1367.42
1568262121,401.42
1569262121,1001.58
1570262121,601.58
1571262121,501.58
1572262121,1001.58
1573262121,11.58
1574262121,1201.46
1575262121,1367.42
1576262121,401.42
1577262121,1001.58
1578262121,601.58
1579262121,501.58
1580262121,1001.58
1581262121,11.58
1582262121,1201.46
1583262121,1367.42
1584262121,962.58
1585262121,1201.46
1586262121,1367.42
1587262121,1002.58
1588262121,602.58
1589262121,502.58
1590262121,1002.58
1591262121,12.58
1592262121,152.58
1593262121,49.58
1594262121,563.58
1595262121,1002.58
1596262121,602.58
1597262121,502.58
1598262121,1002.58
1599262121,12.58
1600262121,152.58
1601262121,49.58
1602262121,563.58
1603262121,563.58
1604262121,763.58
1605262121,263.58
1606262121,963.58
1607262121,563.58
1608262121,63.58
1609262121,63.58
1610262121,963.58
1611262121,1202.46
1612262121,1368.42
1613262121,63.58
1614262121,63.58
1615262121,963.58
1616262121,1202.46
1617262121,1368.42
1618262121,1003.58
1619262121,603.58
1620262121,503.58
1621262121,1003.58
1622262121,13.58
1623262121,153.58
1624262121,50.58
1625262121,564.58
1626262121,1003.58
1627262121,603.58
1628262121,503.58
1629262121,1003.58
1630262121,13.58
1631262121,153.58
1632262121,50.58
1633262121,63.58
1634262121,63.58
1635262121,963.58
1636262121,1202.46
1637262121,1368.42
1638262121,63.58
1639262121,63.58
1640262121,765.58
1641262121,155.58
1642262121,52.58
1643262121,566.58
1644262121,566.58
1645262121,766.58
1646262121,14.58
1647262121,154.58
1648262121,51.58
1649262121,565.58
1650262121,565.58
1651262121,14.58
1652262121,1004.58
1653262121,604.58
1654262121,504.58
1655262121,1004.58
1656262121,14.58
1657262121,154.58
1658262121,51.58
1659262121,565.58
1660262121,565.58
