key,value
2000,394.46
2001,1366.42
2002,700.58
2003,1452.43
2004,1000.6
2005,800.6
2006,500.83
2007,117.68
2008,436.51
2009,142.4
2010,1314.95
2011,1320.28
2012,1366.01
2013,1239.94
2014,1160.33
2015,1249.46
2016,1255.82
2017,1224.38
2018,600.23
2019,800.58
2020,900.94
2021,1059.78
2022,1139.45
2023,1148.08
2024,1130.2
2025,1106.73
2026,1147.39
2027,1076.92
2028,1067.14
2029,989.82
2030,911.62
2031,916.07
2032,815.28
2033,885.76
2034,936.31
2035,879.82
2036,855.7
2037,841.15
2038,848.18
2039,916.92
2040,963.59
2041,974.5
2042,990.31
2043,1008.01
2044,995.97
2045,1050.71
2046,1058.2
2047,1111.92
2048,1131.13
2049,1144.94
2050,626.21
2051,407.3
2052,320.68
2053,240.84
2054,201.72
2055,150.24
2056,400.58
2057,300.2
2058,700.82
2059,1211.92
2060,1181.27
2061,1000.6
2062,1180.59
2063,1156.85
2064,1191.5
2065,1191.33
2066,1234.18
2067,1220.33
2068,1228.81
2069,1207.01
2070,1249.48
2071,1248.29
2072,1280.08
2073,1280.66
2074,1294.87
2075,1310.61
2076,1270.09
2077,1270.2
2078,1276.66
2079,1303.82
2080,1335.85
